Qubit,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,MEASURE error,Operational
24,161.1878410905439,20.4529255034264,0.007080078125,0.013916015625,0.000244140625,2584.0,0.0005867941980953368,36.0,0.0005867941980953368,0.0,0.0005867941980953368,0.0005867941980953368,0.02734375,Yes
25,115.395806990796,54.66827614358561,0.014892578125,0.021484375,0.00830078125,2584.0,0.000559483939923989,36.0,0.000559483939923989,0.0,0.000559483939923989,0.000559483939923989,0.0247802734375,Yes
26,4.283938833110861,8.05513472874944,0.03955078125,0.0771484375,0.001953125,2584.0,0.0028622693930206084,36.0,0.0028622693930206084,0.0,0.0028622693930206084,0.0028622693930206084,0.0562744140625,Yes
27,99.06158861497836,126.218682700393,0.0382080078125,0.013671875,0.052490234375,2584.0,0.0003166906846341349,36.0,0.0003166906846341349,0.0,0.0003166906846341349,0.0003166906846341349,0.0482177734375,Yes
28,399.17274981482853,340.958223238561,0.0166015625,0.025634765625,0.007568359375,2584.0,0.00039876577922987245,36.0,0.00039876577922987245,0.0,0.00039876577922987245,0.00039876577922987245,0.0113525390625,Yes
29,80.02462915052065,70.62798601806965,0.10107421875,0.201416015625,0.000732421875,2584.0,0.0005293293486820683,36.0,0.0005293293486820683,0.0,0.0005293293486820683,0.0005293293486820683,0.0272216796875,Yes
30,169.43860864765375,51.27938614546395,0.014404296875,0.017822265625,0.010986328125,2584.0,0.0005561827488196516,36.0,0.0005561827488196516,0.0,0.0005561827488196516,0.0005561827488196516,0.027587890625,Yes
31,173.34483619431657,68.46352558930029,0.0196533203125,0.018310546875,0.02099609375,2584.0,0.00020420947950093707,36.0,0.00020420947950093707,0.0,0.00020420947950093707,0.00020420947950093707,0.012939453125,Yes
32,338.30511276884516,47.986131761736615,0.006591796875,0.010498046875,0.002685546875,2584.0,0.0006041113698438095,36.0,0.0006041113698438095,0.0,0.0006041113698438095,0.0006041113698438095,0.0087890625,Yes
33,162.7472072134357,150.24820269739425,0.0108642578125,0.020751953125,0.0009765625,2584.0,0.0002516957750497306,36.0,0.0002516957750497306,0.0,0.0002516957750497306,0.0002516957750497306,0.006591796875,Yes
34,142.72136612204673,117.43419945256599,0.0035400390625,0.00634765625,0.000732421875,2584.0,0.000456470933697119,36.0,0.000456470933697119,0.0,0.000456470933697119,0.000456470933697119,0.024169921875,Yes
35,488.62875224199047,525.9771655561138,0.0120849609375,0.00537109375,0.018798828125,2584.0,0.00016792570180761685,36.0,0.00016792570180761685,0.0,0.00016792570180761685,0.00016792570180761685,0.01025390625,Yes
36,246.57210489891668,88.68610904877406,0.0101318359375,0.017822265625,0.00244140625,2584.0,0.0036961657903650702,36.0,0.0036961657903650702,0.0,0.0036961657903650702,0.0036961657903650702,0.1162109375,Yes
37,117.9619015900736,29.39915408492174,0.0091552734375,0.014892578125,0.00341796875,2584.0,0.0011139888608211633,36.0,0.0011139888608211633,0.0,0.0011139888608211633,0.0011139888608211633,0.017333984375,Yes
38,100.02537871126661,84.55069108733363,0.0172119140625,0.01611328125,0.018310546875,2584.0,0.0006352709076569578,36.0,0.0006352709076569578,0.0,0.0006352709076569578,0.0006352709076569578,0.013916015625,Yes
39,186.84681515377574,41.58658886427484,0.023193359375,0.03271484375,0.013671875,2584.0,0.0011922678477623715,36.0,0.0011922678477623715,0.0,0.0011922678477623715,0.0011922678477623715,0.2073974609375,Yes
40,191.5747907433785,105.3656624252686,0.0662841796875,0.047607421875,0.0849609375,2584.0,0.00017489627423707563,36.0,0.00017489627423707563,0.0,0.00017489627423707563,0.00017489627423707563,0.0223388671875,Yes
