Qubit 1,Qubit 2,CZ error,Gate length (ns),RZZ error,Operational
49,50,0.002304453510667742,68.0,0.0019295728331821527,Yes
50,49,0.002304453510667742,68.0,0.0019295728331821527,Yes
50,51,0.0026401742517827287,68.0,0.0019264957576556885,Yes
51,50,0.0026401742517827287,68.0,0.0019264957576556885,Yes
51,52,0.0028173462794741644,68.0,0.001988604698259483,Yes
51,58,0.002866565826208728,68.0,1.0,Yes
52,51,0.0028173462794741644,68.0,0.001988604698259483,Yes
52,53,0.0019371927824341495,68.0,0.0018163017587423669,Yes
53,39,0.001761128735284695,68.0,0.0023706831107571658,Yes
53,52,0.0019371927824341495,68.0,0.0018163017587423669,Yes
53,54,0.0015260843741043417,68.0,0.0013482194289194394,Yes
54,53,0.0015260843741043417,68.0,0.0013482194289194394,Yes
54,55,0.0020507795706584675,68.0,0.0017571742266023482,Yes
55,54,0.0020507795706584675,68.0,0.0017571742266023482,Yes
55,59,0.0017970430219463873,68.0,0.002359783529677806,Yes
56,43,0.00180593113287289,68.0,0.002407788522205745,Yes
56,63,0.0030965716573753688,68.0,0.003063359163331225,Yes
57,47,0.0030930116410745334,68.0,0.002293525753171849,Yes
57,67,0.0021606404610081398,68.0,0.0017897835427724273,Yes
58,51,0.002866565826208728,68.0,1.0,Yes
58,71,0.002246960475485421,68.0,0.003154054775002413,Yes
59,55,0.0017970430219463873,68.0,0.002359783529677806,Yes
59,75,0.0016888384733612094,68.0,0.0014712923948782541,Yes
60,61,0.007511442931324747,80.0,1.0,Yes
61,60,0.007511442931324747,80.0,1.0,Yes
61,62,1.0,68.0,1.0,Yes
61,76,0.0036954715036237873,68.0,0.0033769115115058757,Yes
62,61,1.0,68.0,1.0,Yes
62,63,0.0036555222097552353,68.0,0.002155113239992762,Yes
63,56,0.0030965716573753688,68.0,0.003063359163331225,Yes
63,62,0.0036555222097552353,68.0,0.002155113239992762,Yes
63,64,0.003190833865219872,68.0,0.0018967441376830374,Yes
64,63,0.003190833865219872,68.0,0.0018967441376830374,Yes
64,65,0.002824468161511856,68.0,0.0019660107608091837,Yes
65,64,0.002824468161511856,68.0,0.0019660107608091837,Yes
65,66,0.0022510113811280985,68.0,0.003524282178792554,Yes
65,77,0.0030710569794710763,68.0,0.0019424215951182322,Yes
66,65,0.0022510113811280985,68.0,0.003524282178792554,Yes
66,67,0.001837020918112886,68.0,0.0037245460289654087,Yes
67,57,0.0021606404610081398,68.0,0.0017897835427724273,Yes
67,66,0.001837020918112886,68.0,0.0037245460289654087,Yes
67,68,0.003009405243675961,68.0,0.003284135435190544,Yes
68,67,0.003009405243675961,68.0,0.003284135435190544,Yes
