"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"85","165.78756478253175","113.75335990172769","0.0107421875","0.019287109375","0.002197265625","2584","0.00023325695590018707","36","0.00023325695590018707","0","0.00023325695590018707","0.00023325695590018707","77:0.0031539674354693903;86:0.0038390238217439476;84:0.003711290313492127","77:68;86:68;84:68","77:0.0018900838778937723;86:0.01020745056073799;84:0.0023033304242638664","0.0107421875","Yes"
"86","202.29236856073877","24.910614409126115","0.0142822265625","0.01953125","0.009033203125","2584","0.00045977082471094984","36","0.00045977082471094984","0","0.00045977082471094984","0.00045977082471094984","85:0.0038390238217439476;87:0.0027501688258661505","85:68;87:68","85:0.01020745056073799;87:0.011852707953671493","0.0142822265625","Yes"
"87","227.7328535038355","166.42858597507717","0.0037841796875","0.006591796875","0.0009765625","2584","0.00032547147302850875","36","0.00032547147302850875","0","0.00032547147302850875","0.00032547147302850875","86:0.0027501688258661505;88:0.0015462660461703637;97:0.001808398615558815","86:68;88:68;97:68","86:0.011852707953671493;88:0.002303501568559768;97:0.0021696046983942785","0.0037841796875","Yes"
"88","238.22059428518213","178.03932561630103","0.0184326171875","0.020263671875","0.0166015625","2584","0.0001772341092078406","36","0.0001772341092078406","0","0.0001772341092078406","0.0001772341092078406","87:0.0015462660461703637;89:0.0013028691156110328","87:68;89:68","87:0.002303501568559768;89:0.0028927666961710286","0.0184326171875","Yes"
"89","234.98605805348853","238.05950870016392","0.0169677734375","0.01806640625","0.015869140625","2584","0.00022190001091356178","36","0.00022190001091356178","0","0.00022190001091356178","0.00022190001091356178","90:0.0032929421479265253;88:0.0013028691156110328;78:0.001969308548018578","90:68;88:68;78:68","90:0.003488536743055104;88:0.0028927666961710286;78:0.0027818870833250797","0.0169677734375","Yes"
"90","72.17924024271387","74.1353532099953","0.105224609375","0.08251953125","0.1279296875","2584","0.0005848377008672594","36","0.0005848377008672594","0","0.0005848377008672594","0.0005848377008672594","89:0.0032929421479265253;91:0.0028339311787443366","89:68;91:80","89:0.003488536743055104;91:0.00295455172122136","0.105224609375","Yes"
"91","129.10083700796108","214.24964005217382","0.006591796875","0.0107421875","0.00244140625","2584","0.00040081506595162665","36","0.00040081506595162665","0","0.00040081506595162665","0.00040081506595162665","98:0.0016855642113472735;90:0.0028339311787443366;92:0.0017983147183062709","98:68;90:80;92:68","98:0.0013291482504744767;90:0.00295455172122136;92:0.0022647231763975595","0.006591796875","Yes"
"92","241.82086969437472","244.0426968236228","0.011474609375","0.020751953125","0.002197265625","2584","0.00028999018061985404","36","0.00028999018061985404","0","0.00028999018061985404","0.00028999018061985404","91:0.0017983147183062709;93:0.003788765972555286","91:68;93:68","91:0.0022647231763975595;93:0.0020600825047126514","0.011474609375","Yes"
"93","212.86573432332014","203.80313845971017","0.0118408203125","0.009521484375","0.01416015625","2584","0.0002122861025047992","36","0.0002122861025047992","0","0.0002122861025047992","0.0002122861025047992","94:0.0017237270987225106;79:0.002950921805833173;92:0.003788765972555286","94:68;79:68;92:68","94:0.0015176997292360994;79:0.0020168794935137013;92:0.0020600825047126514","0.0118408203125","Yes"
"94","348.34370436281233","305.1922617698844","0.00732421875","0.01025390625","0.00439453125","2584","0.0000772707329268876","36","0.0000772707329268876","0","0.0000772707329268876","0.0000772707329268876","93:0.0017237270987225106;95:0.011165822717325385","93:68;95:68","93:0.0015176997292360994;95:0.00594273264747508","0.00732421875","Yes"
"95","234.58278160998086","342.04306834192715","0.0130615234375","0.01123046875","0.00732421875","2584","0.000630422288719354","36","0.000630422288719354","0","0.000630422288719354","0.000630422288719354","99:0.10157512136027297;94:0.011165822717325385","99:68;94:68","94:0.00594273264747508","0.0130615234375","Yes"
"96","125.61352086292135","31.63199942494481","0.0540771484375","0.048828125","0.059326171875","2584","0.0006540588501748602","36","0.0006540588501748602","0","0.0006540588501748602","0.0006540588501748602","83:0.006823899385158233;103:0.0023730564222781414","83:68;103:68","83:0.007525575691790409;103:0.0031763692592204906","0.0540771484375","Yes"
"97","254.22124667386825","35.428345858405486","0.0087890625","0.011962890625","0.005615234375","2584","0.00025536803744023853","36","0.00025536803744023853","0","0.00025536803744023853","0.00025536803744023853","87:0.001808398615558815;107:0.0027067401699679416","87:68;107:68","87:0.0021696046983942785;107:0.001646128936853869","0.0087890625","Yes"
"98","185.49593549785695","65.07615957769136","0.0052490234375","0.006103515625","0.00439453125","2584","0.0003772701927347683","36","0.0003772701927347683","0","0.0003772701927347683","0.0003772701927347683","91:0.0016855642113472735;111:0.0018157767179797502","91:68;111:68","91:0.0013291482504744767;111:0.0028591254197802562","0.0052490234375","Yes"
"99","135.01394370247783","40.58674622930092","0.0155029296875","0.021240234375","0.009765625","2584","0.00021961245575565682","36","0.00021961245575565682","0","0.00021961245575565682","0.00021961245575565682","115:0.0036938624902825568;95:0.10157512136027297","115:68;95:68","115:0.0031553847975022975","0.0155029296875","Yes"
"100","112.95469926970411","93.6418187298188","0.0130615234375","0.0205078125","0.005615234375","2584","0.0005935348691787607","36","0.0005935348691787607","0","0.0005935348691787607","0.0005935348691787607","101:0.002083186433293527","101:68","101:0.0026781185918029193","0.0130615234375","Yes"
"101","111.81163279029076","76.42136873279965","0.0164794921875","0.015625","0.017333984375","2584","0.00041545247972590437","36","0.00041545247972590437","0","0.00041545247972590437","0.00041545247972590437","100:0.002083186433293527;116:0.0025893349459596426;102:0.0031338381370178137","100:68;116:68;102:68","100:0.0026781185918029193;116:0.004120983343073481;102:0.004682881262487365","0.0164794921875","Yes"
"102","71.28152804120346","48.21116134035441","0.0350341796875","0.058349609375","0.01171875","2584","0.00039142346459763495","36","0.00039142346459763495","0","0.00039142346459763495","0.00039142346459763495","101:0.0031338381370178137;103:0.003447986864944713","101:68;103:68","101:0.004682881262487365;103:0.005481829587400094","0.0350341796875","Yes"
"103","123.01225876923316","79.93862173770584","0.0238037109375","0.034423828125","0.01318359375","2584","0.0003913024154318932","36","0.0003913024154318932","0","0.0003913024154318932","0.0003913024154318932","104:0.0019351886313254962;96:0.0023730564222781414;102:0.003447986864944713","104:68;96:68;102:68","104:0.0039395534305395885;96:0.0031763692592204906;102:0.005481829587400094","0.0238037109375","Yes"
"104","353.59351008765344","262.0582481283558","0.00927734375","0.011474609375","0.007080078125","2584","0.00018008268097397632","36","0.00018008268097397632","0","0.00018008268097397632","0.00018008268097397632","103:0.0019351886313254962;105:0.0028708775991844737","103:68;105:68","103:0.0039395534305395885;105:0.0017018200728288468","0.00927734375","Yes"
"105","118.04759628530093","35.39606252418246","0.0068359375","0.009521484375","0.004150390625","2584","0.0002402964247473562","36","0.0002402964247473562","0","0.0002402964247473562","0.0002402964247473562","104:0.0028708775991844737;106:0.004014936798852009;117:0.005174251330311019","104:68;106:68;117:68","104:0.0017018200728288468;106:0.002532332399813375;117:0.003596112544279023","0.0068359375","Yes"
"106","268.42821006636876","184.20697543436052","0.0220947265625","0.0244140625","0.019775390625","2584","0.00030468433385386843","36","0.00030468433385386843","0","0.00030468433385386843","0.00030468433385386843","107:0.0048660163375000565;105:0.004014936798852009","107:68;105:68","107:0.002170770074151923;105:0.002532332399813375","0.0220947265625","Yes"
"107","330.49054764505536","253.18321950624372","0.00634765625","0.010009765625","0.002685546875","2584","0.0003020465341911328","36","0.0003020465341911328","0","0.0003020465341911328","0.0003020465341911328","106:0.0048660163375000565;108:0.003977769795513425;97:0.0027067401699679416","106:68;108:68;97:68","106:0.002170770074151923;108:0.002978485173157991;97:0.001646128936853869","0.00634765625","Yes"
"108","32.54053376222296","43.655741568730036","0.018310546875","0.0361328125","0.00048828125","2584","0.0008576841226847834","36","0.0008576841226847834","0","0.0008576841226847834","0.0008576841226847834","107:0.003977769795513425;109:0.0022569221384331206","107:68;109:68","107:0.002978485173157991;109:0.002792318785664355","0.018310546875","Yes"
"109","165.21917458839056","106.44421779717672","0.007080078125","0.007080078125","0.007080078125","2584","0.00012562568754563818","36","0.00012562568754563818","0","0.00012562568754563818","0.00012562568754563818","108:0.0022569221384331206;110:0.0019323677167788766;118:0.0017865136127221126","108:68;110:68;118:68","108:0.002792318785664355;110:0.00219696255000032;118:0.003571026618798878","0.007080078125","Yes"
"110","260.05550524386376","267.4053201017195","0.0107421875","0.0087890625","0.0126953125","2584","0.00048314524680011266","36","0.00048314524680011266","0","0.00048314524680011266","0.00048314524680011266","109:0.0019323677167788766;111:0.0022097988668310364","109:68;111:68","109:0.00219696255000032;111:0.0022931856502107217","0.0107421875","Yes"
"111","212.91302668361064","130.8380151094887","0.0081787109375","0.010986328125","0.00537109375","2584","0.00025262841895639407","36","0.00025262841895639407","0","0.00025262841895639407","0.00025262841895639407","112:0.0024472367156319896;110:0.0022097988668310364;98:0.0018157767179797502","112:68;110:68;98:68","112:0.0022444628988489146;110:0.0022931856502107217;98:0.0028591254197802562","0.0081787109375","Yes"
"112","268.10881129071237","161.68660808164014","0.0059814453125","0.0107421875","0.00390625","2584","0.00046367221701715147","36","0.00046367221701715147","0","0.00046367221701715147","0.00046367221701715147","111:0.0024472367156319896","111:68;113:68","111:0.0022444628988489146","0.0059814453125","Yes"
"113","154.7934210765017","89.48945599617846","0.3369140625","0.54443359375","0.12939453125","2584","","36","","0","","","","119:68;112:68;114:68","","0.3369140625","Yes"
"114","264.899285365619","231.6356765934817","0.0057373046875","0.007568359375","0.00390625","2584","0.0002114763158633191","36","0.0002114763158633191","0","0.0002114763158633191","0.0002114763158633191","115:0.004427496330261099","115:68;113:68","115:0.002495527886536675","0.0057373046875","Yes"
"115","167.18057559129045","71.19786764896811","0.0101318359375","0.010498046875","0.009765625","2584","0.00012396198748959423","36","0.00012396198748959423","0","0.00012396198748959423","0.00012396198748959423","99:0.0036938624902825568;114:0.004427496330261099","99:68;114:68","99:0.0031553847975022975;114:0.002495527886536675","0.0101318359375","Yes"
"116","84.63686993189454","74.05121433975086","0.0130615234375","0.0234375","0.002685546875","2584","0.0008776885172951759","36","0.0008776885172951759","0","0.0008776885172951759","0.0008776885172951759","101:0.0025893349459596426;121:0.002660072753552123","101:68;121:68","101:0.004120983343073481;121:0.003809392940027856","0.0130615234375","Yes"
"117","161.69868639195843","8.467031460411183","0.0166015625","0.01953125","0.013671875","2584","0.0004931113258198245","36","0.0004931113258198245","0","0.0004931113258198245","0.0004931113258198245","105:0.005174251330311019;125:0.003833956617526224","105:68;125:68","105:0.003596112544279023;125:0.0027234142511547987","0.0166015625","Yes"
"118","163.11601835653704","79.71463630775943","0.0269775390625","0.02294921875","0.031005859375","2584","0.00022606000188160301","36","0.00022606000188160301","0","0.00022606000188160301","0.00022606000188160301","109:0.0017865136127221126;129:0.0018953345568425706","109:68;129:68","109:0.003571026618798878","0.0269775390625","Yes"
"119","279.38059982336307","75.6274732378708","0.2001953125","0.3896484375","0.0107421875","2584","","36","","0","","","","113:68;133:68","","0.2001953125","Yes"
"120","179.35033715082548","71.9558958748407","0.01171875","0.02197265625","0.00146484375","2584","0.00024644666367666066","36","0.00024644666367666066","0","0.00024644666367666066","0.00024644666367666066","121:0.0018208145002380216","121:68","121:0.001915558840995868","0.01171875","Yes"
"121","110.47246189778497","85.21526194651263","0.0325927734375","0.037109375","0.028076171875","2584","0.0005656407577128203","36","0.0005656407577128203","0","0.0005656407577128203","0.0005656407577128203","120:0.0018208145002380216;122:0.003033816621418689;116:0.002660072753552123","120:68;122:80;116:68","120:0.001915558840995868;122:0.0027801316985104074;116:0.003809392940027856","0.0325927734375","Yes"
"122","245.9913454184944","34.12956284064517","0.006591796875","0.01171875","0.00146484375","2584","0.00028750306977731103","36","0.00028750306977731103","0","0.00028750306977731103","0.00028750306977731103","121:0.003033816621418689;123:0.0016442181837639513","121:80;123:68","121:0.0027801316985104074;123:0.0020089697014244734","0.006591796875","Yes"
"123","79.10281304280208","56.125370294317996","0.013427734375","0.020263671875","0.006591796875","2584","0.00021484888726947527","36","0.00021484888726947527","0","0.00021484888726947527","0.00021484888726947527","136:0.0023730496973093096;124:0.004141634687343798;122:0.0016442181837639513","136:68;124:68;122:68","136:0.0023617822157980806;124:0.002318776548701773;122:0.0020089697014244734","0.013427734375","Yes"
"124","61.017999418496515","37.000717572572285","0.0045166015625","0.006591796875","0.00244140625","2584","0.0005498305341860366","36","0.0005498305341860366","0","0.0005498305341860366","0.0005498305341860366","123:0.004141634687343798;125:0.005717040388517114","123:68;125:68","123:0.002318776548701773;125:0.003088280464514259","0.0045166015625","Yes"
"125","219.73260347293746","97.14837312074621","0.0098876953125","0.018310546875","0.00146484375","2584","0.000530174968069964","36","0.000530174968069964","0","0.000530174968069964","0.000530174968069964","117:0.003833956617526224;124:0.005717040388517114;126:0.0037273896176460986","117:68;124:68;126:68","117:0.0027234142511547987;124:0.003088280464514259;126:0.008190891816725748","0.0098876953125","Yes"
"126","119.01073010028487","35.50969499400341","0.018310546875","0.021240234375","0.015380859375","2584","0.00044126392818720776","36","0.00044126392818720776","0","0.00044126392818720776","0.00044126392818720776","127:0.0024393902258220135;125:0.0037273896176460986","127:68;125:68","127:0.007173673958360882;125:0.008190891816725748","0.018310546875","Yes"
"127","279.5299369127649","20.4852069614414","0.0316162109375","0.038330078125","0.02490234375","2584","0.0002525247527200689","36","0.0002525247527200689","0","0.0002525247527200689","0.0002525247527200689","126:0.0024393902258220135;128:0.0017628602120886294;137:0.0021458742763274807","126:68;128:68;137:68","126:0.007173673958360882;128:0.0011499641847782516;137:0.0021809496539508533","0.0316162109375","Yes"
"128","230.59254793637555","64.52376791817511","0.0098876953125","0.008544921875","0.01123046875","2584","0.00037466092965589954","36","0.00037466092965589954","0","0.00037466092965589954","0.00037466092965589954","127:0.0017628602120886294;129:0.002379911815572344","127:68;129:68","127:0.0011499641847782516;129:0.0020532869692871103","0.0098876953125","Yes"
"129","219.09499426798635","151.25341955751782","0.0062255859375","0.0078125","0.00341796875","2584","0.0002316894094288928","36","0.0002316894094288928","0","0.0002316894094288928","0.0002316894094288928","128:0.002379911815572344;118:0.0018953345568425706","130:68;128:68;118:68","128:0.0020532869692871103","0.0062255859375","Yes"
"130","322.9729925580698","16.288825214895343","0.5028076171875","0.49658203125","0.509033203125","2584","","36","","0","","","","129:68;131:68","","0.5028076171875","Yes"
"131","295.57148785263126","173.8194115201338","0.0081787109375","0.0087890625","0.007568359375","2584","0.0001873473006895519","36","0.0001873473006895519","0","0.0001873473006895519","0.0001873473006895519","138:0.002398470752287357;132:0.0015659086564004665","138:68;130:68;132:68","138:0.0018382859106571836;132:0.0014578607464254545","0.0081787109375","Yes"
"132","231.5650605913672","84.13838224313125","0.0057373046875","0.0068359375","0.004638671875","2584","0.00014418208609042897","36","0.00014418208609042897","0","0.00014418208609042897","0.00014418208609042897","133:0.0020529472473625188;131:0.0015659086564004665","133:68;131:68","133:0.0015377788810762294;131:0.0014578607464254545","0.0057373046875","Yes"
"133","405.79165641811994","266.90745500256384","0.0078125","0.008544921875","0.007080078125","2584","0.00029542237203902","36","0.00029542237203902","0","0.00029542237203902","0.00029542237203902","132:0.0020529472473625188;134:0.003049823750153613","132:68;134:80;119:68","132:0.0015377788810762294;134:0.0027836406227369215","0.0078125","Yes"
"134","156.51237895121938","84.06992448614267","0.0067138671875","0.010986328125","0.00244140625","2584","0.00010780337777305424","36","0.00010780337777305424","0","0.00010780337777305424","0.00010780337777305424","133:0.003049823750153613;135:0.002097438800404944","133:80;135:68","133:0.0027836406227369215;135:0.002601604155480247","0.0067138671875","Yes"
"135","321.88468749052106","75.53425876381262","0.0225830078125","0.0234375","0.021728515625","2584","0.00012133436817584302","36","0.00012133436817584302","0","0.00012133436817584302","0.00012133436817584302","134:0.002097438800404944;139:0.0017751331275198123","134:68;139:68","134:0.002601604155480247;139:0.0021306820615851763","0.0225830078125","Yes"
"136","134.8893586894537","78.69150612506712","0.0072021484375","0.011474609375","0.0029296875","2584","0.0003785655236773445","36","0.0003785655236773445","0","0.0003785655236773445","0.0003785655236773445","123:0.0023730496973093096;143:0.004727028781983639","123:68;143:68","123:0.0023617822157980806;143:0.0028337220075334846","0.0072021484375","Yes"
"137","128.0123252061675","109.86394793029082","0.0087890625","0.013427734375","0.004150390625","2584","0.0005754653062167169","36","0.0005754653062167169","0","0.0005754653062167169","0.0005754653062167169","147:0.0016674591818108542;127:0.0021458742763274807","147:68;127:68","147:0.0020852184169432852;127:0.0021809496539508533","0.0087890625","Yes"
"138","275.28012741137826","142.57861012999484","0.0108642578125","0.0107421875","0.010986328125","2584","0.00040236594215055735","36","0.00040236594215055735","0","0.00040236594215055735","0.00040236594215055735","151:0.0034986489196570936;131:0.002398470752287357","151:68;131:68","151:0.0022230372220884698;131:0.0018382859106571836","0.0108642578125","Yes"
"139","192.1216268136593","221.95749833947707","0.005859375","0.00732421875","0.00439453125","2584","0.00022339167656353027","36","0.00022339167656353027","0","0.00022339167656353027","0.00022339167656353027","155:0.00205882430772264;135:0.0017751331275198123","155:80;135:68","155:0.0013379919772406323;135:0.0021306820615851763","0.005859375","Yes"
"140","246.49605042076476","54.743128775204546","0.0115966796875","0.015380859375","0.0078125","2584","0.00042814173870484577","36","0.00042814173870484577","0","0.00042814173870484577","0.00042814173870484577","141:0.009653561651031706","141:68","141:0.002989999508052621","0.0115966796875","Yes"
"141","233.67023614573952","191.30632917712572","0.009765625","0.0107421875","0.0087890625","2584","0.00034727320714876726","36","0.00034727320714876726","0","0.00034727320714876726","0.00034727320714876726","140:0.009653561651031706;142:0.00837713878223914","140:68;142:68","140:0.002989999508052621;142:0.0014798214993893277","0.009765625","Yes"
"142","176.8834273797013","164.23867514375456","0.02880859375","0.023681640625","0.033935546875","2584","0.001390457316289552","36","0.001390457316289552","0","0.001390457316289552","0.001390457316289552","143:0.09547983980982971;141:0.00837713878223914","143:68;141:68","143:0.007850315251761414;141:0.0014798214993893277","0.02880859375","Yes"
"143","106.07280134048284","36.77963238741699","0.0281982421875","0.049072265625","0.00732421875","2584","0.00044413046114064985","36","0.00044413046114064985","0","0.00044413046114064985","0.00044413046114064985","142:0.09547983980982971;144:0.007263193196427625;136:0.004727028781983639","142:68;144:68;136:68","142:0.007850315251761414;144:0.0039105893065237984;136:0.0028337220075334846","0.0281982421875","Yes"
"144","83.36681301186276","48.48935770575271","0.007080078125","0.0126953125","0.00146484375","2584","0.000680410861287385","36","0.000680410861287385","0","0.000680410861287385","0.000680410861287385","145:0.003778720505841493;143:0.007263193196427625","145:68;143:68","145:0.005688500248441614;143:0.0039105893065237984","0.007080078125","Yes"
"145","184.41760299140333","165.7300603176038","0.01806640625","0.019775390625","0.016357421875","2584","0.000480444514956647","36","0.000480444514956647","0","0.000480444514956647","0.000480444514956647","144:0.003778720505841493;146:0.001815759060717681","144:68;146:68","144:0.005688500248441614;146:0.0023588858889354025","0.01806640625","Yes"
"146","172.17428770196508","66.39010850207357","0.0052490234375","0.00927734375","0.00244140625","2584","0.00039335583388934117","36","0.00039335583388934117","0","0.00039335583388934117","0.00039335583388934117","145:0.001815759060717681;147:0.0022601606326836388","145:68;147:68","145:0.0023588858889354025;147:0.001717486292247744","0.0052490234375","Yes"
"147","302.51822082949093","93.50753174146183","0.016845703125","0.015869140625","0.017822265625","2584","0.0003460780503761673","36","0.0003460780503761673","0","0.0003460780503761673","0.0003460780503761673","148:0.0017680932511686953;137:0.0016674591818108542;146:0.0022601606326836388","148:68;137:68;146:68","148:0.0018474695617029802;137:0.0020852184169432852;146:0.001717486292247744","0.016845703125","Yes"
"148","243.98717718608074","148.78202203106628","0.0047607421875","0.005615234375","0.00390625","2584","0.00018503176147854642","36","0.00018503176147854642","0","0.00018503176147854642","0.00018503176147854642","147:0.0017680932511686953;149:0.0018095452841428161","147:68;149:68","147:0.0018474695617029802;149:0.0015731294671873508","0.0047607421875","Yes"
"149","156.06894112895233","90.60146593788247","0.0125732421875","0.0166015625","0.008544921875","2584","0.00027897742039635935","36","0.00027897742039635935","0","0.00027897742039635935","0.00027897742039635935","150:0.003269024205103055;148:0.0018095452841428161","150:68;148:68","150:0.0016456918235969453;148:0.0015731294671873508","0.0125732421875","Yes"
"150","157.4880598852921","150.1244861140572","0.01708984375","0.025146484375","0.009033203125","2584","0.0003054207831179934","36","0.0003054207831179934","0","0.0003054207831179934","0.0003054207831179934","149:0.003269024205103055;151:0.003663179609230821","149:68;151:68","149:0.0016456918235969453;151:0.0038588073322581573","0.01708984375","Yes"
"151","182.74688946279338","60.39258843889942","0.005126953125","0.00732421875","0.0029296875","2584","0.0003349123848344884","36","0.0003349123848344884","0","0.0003349123848344884","0.0003349123848344884","138:0.0034986489196570936;152:0.02881666337988467;150:0.003663179609230821","138:68;152:68;150:68","138:0.0022230372220884698;152:0.025186094357064093;150:0.0038588073322581573","0.005126953125","Yes"
"152","379.2442100537665","130.02991103194321","0.0211181640625","0.022216796875","0.02001953125","2584","0.0003035899921090438","36","0.0003035899921090438","0","0.0003035899921090438","0.0003035899921090438","151:0.02881666337988467;153:0.002258734852077976","151:68;153:68","151:0.025186094357064093;153:0.003013483376267251","0.0211181640625","Yes"
"153","265.0731876620236","213.90474963718518","0.0042724609375","0.005615234375","0.0029296875","2584","0.00032870242895693876","36","0.00032870242895693876","0","0.00032870242895693876","0.00032870242895693876","152:0.002258734852077976;154:0.001737582745959143","152:68;154:68","152:0.003013483376267251;154:0.0019575504719127335","0.0042724609375","Yes"
"154","247.41528472148778","11.028680153604135","0.010498046875","0.014404296875","0.006591796875","2584","0.0004662064862400796","36","0.0004662064862400796","0","0.0004662064862400796","0.0004662064862400796","153:0.001737582745959143;155:0.00220262402141691","153:68;155:68","153:0.0019575504719127335;155:0.0017092954018562978","0.010498046875","Yes"
"155","218.42129263971833","113.73999907012409","0.0086669921875","0.00634765625","0.010986328125","2584","0.00026999999486396865","36","0.00026999999486396865","0","0.00026999999486396865","0.00026999999486396865","139:0.00205882430772264;154:0.00220262402141691","139:80;154:68","139:0.0013379919772406323;154:0.0017092954018562978","0.0086669921875","Yes"
