"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"37","119.47289736629013","15.47111645458552","0.018310546875","0.010498046875","0.026123046875","2584","0.0011139888608211633","36","0.0011139888608211633","0","0.0011139888608211633","0.0011139888608211633","45:0.005615817697460307;25:0.0029966612737332143","45:68;25:68","45:0.00399425651860516;25:0.003449611112075257","0.018310546875","Yes"
"38","115.17727198771267","81.2558295647373","0.0166015625","0.031494140625","0.001708984375","2584","0.0006352709076569578","36","0.0006352709076569578","0","0.0006352709076569578","0.0006352709076569578","29:0.0037556919755118434;49:0.004497788820826326","29:68;49:68","29:0.004050588365532515;49:0.003018322509114685","0.0166015625","Yes"
"39","150.92407801855177","113.33669248514832","0.06591796875","0.076904296875","0.054931640625","2584","0.0011922678477623715","36","0.0011922678477623715","0","0.0011922678477623715","0.0011922678477623715","53:0.001761128735284695;33:0.0016722979423676732","53:68;33:68","53:0.0023706831107571658","0.06591796875","Yes"
"40","144.32185140538925","92.08757585805564","0.0146484375","0.0146484375","0.0146484375","2584","0.00017489627423707563","36","0.00017489627423707563","0","0.00017489627423707563","0.00017489627423707563","41:0.14252136824483977","41:68","41:0.06761997942328318","0.0146484375","Yes"
"41","172.24235491801045","33.84706093179358","0.0130615234375","0.020263671875","0.005859375","2584","0.0007315131122318782","36","0.0007315131122318782","0","0.0007315131122318782","0.0007315131122318782","40:0.14252136824483977;42:0.005021085399191688;36:0.005406581541417266","40:68;42:68;36:68","40:0.06761997942328318;42:0.01423467945059581;36:0.016125803279033263","0.0130615234375","Yes"
"42","189.65071795753053","134.16512497903844","0.019775390625","0.0322265625","0.00732421875","2584","0.0003379873845543805","36","0.0003379873845543805","0","0.0003379873845543805","0.0003379873845543805","41:0.005021085399191688;43:0.0036428640827602388","41:68;43:68","41:0.01423467945059581;43:0.0039559441867196565","0.019775390625","Yes"
"43","244.0249497772425","65.44633285218917","0.0079345703125","0.010498046875","0.00537109375","2584","0.000270444917948726","36","0.000270444917948726","0","0.000270444917948726","0.000270444917948726","42:0.0036428640827602388;56:0.00180593113287289;44:0.0014219350679782472","42:68;56:68;44:68","42:0.0039559441867196565;56:0.002407788522205745;44:0.0015404703409352127","0.0079345703125","Yes"
"44","247.1433775820308","176.40636344537592","0.008056640625","0.00927734375","0.0078125","2584","0.000545611657171757","36","0.000545611657171757","0","0.000545611657171757","0.000545611657171757","45:0.0030198141560457414;43:0.0014219350679782472","45:68;43:68","45:0.0018938798983353378;43:0.0015404703409352127","0.008056640625","Yes"
"45","115.56634149771833","84.2833856311685","0.0150146484375","0.024169921875","0.005859375","2584","0.00034655192058130645","36","0.00034655192058130645","0","0.00034655192058130645","0.00034655192058130645","44:0.0030198141560457414;46:0.002772583501679665;37:0.005615817697460307","44:68;46:68;37:68","44:0.0018938798983353378;46:0.0035912745816447655;37:0.00399425651860516","0.0150146484375","Yes"
"46","173.43574725346286","92.4946792522327","0.008056640625","0.0126953125","0.00341796875","2584","0.0006117290631598324","36","0.0006117290631598324","0","0.0006117290631598324","0.0006117290631598324","45:0.002772583501679665;47:0.0033090527302837014","45:68;47:68","45:0.0035912745816447655;47:0.0029181163360642304","0.008056640625","Yes"
"47","161.22055925075355","139.93664955985835","0.0111083984375","0.007568359375","0.0146484375","2584","0.0006179302191584621","36","0.0006179302191584621","0","0.0006179302191584621","0.0006179302191584621","48:0.011085204444181096;57:0.0030930116410745334;46:0.0033090527302837014","48:68;57:68;46:68","48:0.009018892098871217;57:0.002293525753171849;46:0.0029181163360642304","0.0111083984375","Yes"
"48","197.70462018664833","144.54364450296637","0.0521240234375","0.055908203125","0.04833984375","2584","0.00302665443954358","36","0.00302665443954358","0","0.00302665443954358","0.00302665443954358","47:0.011085204444181096;49:0.010629892636516008","47:68;49:68","47:0.009018892098871217;49:0.008196744868076589","0.0521240234375","Yes"
"49","224.8397997519703","211.70456730752068","0.0111083984375","0.0146484375","0.007568359375","2584","0.0004113382797970676","36","0.0004113382797970676","0","0.0004113382797970676","0.0004113382797970676","48:0.010629892636516008;50:0.002304453510667742;38:0.004497788820826326","48:68;50:68;38:68","48:0.008196744868076589;50:0.0019295728331821527;38:0.003018322509114685","0.0111083984375","Yes"
"50","153.40458091281255","137.9985529022403","0.013916015625","0.021484375","0.00634765625","2584","0.00022243609536571113","36","0.00022243609536571113","0","0.00022243609536571113","0.00022243609536571113","49:0.002304453510667742;51:0.0026401742517827287","49:68;51:68","49:0.0019295728331821527;51:0.0019264957576556885","0.013916015625","Yes"
"51","159.38440181025962","181.13755233779312","0.0626220703125","0.085693359375","0.03955078125","2584","0.00025013106369679264","36","0.00025013106369679264","0","0.00025013106369679264","0.00025013106369679264","50:0.0026401742517827287;52:0.0028173462794741644;58:0.002866565826208728","50:68;52:68;58:68","50:0.0019264957576556885;52:0.001988604698259483","0.0626220703125","Yes"
"52","146.75668365308385","180.627293905736","0.0120849609375","0.019775390625","0.00439453125","2584","0.0005145457415579901","36","0.0005145457415579901","0","0.0005145457415579901","0.0005145457415579901","51:0.0028173462794741644;53:0.0019371927824341495","51:68;53:68","51:0.001988604698259483;53:0.0018163017587423669","0.0120849609375","Yes"
"53","175.61109071730007","165.44178108576622","0.0145263671875","0.01416015625","0.014892578125","2584","0.00014399295064078008","36","0.00014399295064078008","0","0.00014399295064078008","0.00014399295064078008","39:0.001761128735284695;52:0.0019371927824341495;54:0.0015260843741043417","39:68;52:68;54:68","39:0.0023706831107571658;52:0.0018163017587423669;54:0.0013482194289194394","0.0145263671875","Yes"
"54","173.66843341940864","207.6713244084105","0.0157470703125","0.027099609375","0.00439453125","2584","0.00013561430831538903","36","0.00013561430831538903","0","0.00013561430831538903","0.00013561430831538903","53:0.0015260843741043417;55:0.0020507795706584675","53:68;55:68","53:0.0013482194289194394;55:0.0017571742266023482","0.0157470703125","Yes"
"55","200.15878209740703","79.64842166725776","0.034912109375","0.03369140625","0.0361328125","2584","0.00020032406824026434","36","0.00020032406824026434","0","0.00020032406824026434","0.00020032406824026434","59:0.0017970430219463873;54:0.0020507795706584675","59:68;54:68","59:0.002359783529677806;54:0.0017571742266023482","0.034912109375","Yes"
"56","238.1213268861277","68.71338524116334","0.0107421875","0.013671875","0.0078125","2584","0.000263416039895196","36","0.000263416039895196","0","0.000263416039895196","0.000263416039895196","63:0.0030965716573753688;43:0.00180593113287289","63:68;43:68","63:0.003063359163331225;43:0.002407788522205745","0.0107421875","Yes"
"57","115.55105508425522","53.57346460467752","0.024658203125","0.022216796875","0.027099609375","2584","0.0002957223247631161","36","0.0002957223247631161","0","0.0002957223247631161","0.0002957223247631161","47:0.0030930116410745334;67:0.0021606404610081398","47:68;67:68","47:0.002293525753171849;67:0.0017897835427724273","0.024658203125","Yes"
"58","142.82154962072923","141.79390246844986","0.0328369140625","0.030029296875","0.03564453125","2584","0.0002333923297492462","36","0.0002333923297492462","0","0.0002333923297492462","0.0002333923297492462","71:0.002246960475485421;51:0.002866565826208728","71:68;51:68","71:0.003154054775002413","0.0328369140625","Yes"
"59","158.85852186412004","196.65342263109392","0.0181884765625","0.020263671875","0.01611328125","2584","0.00024759434942930967","36","0.00024759434942930967","0","0.00024759434942930967","0.00024759434942930967","55:0.0017970430219463873;75:0.0016888384733612094","55:68;75:68","55:0.002359783529677806;75:0.0014712923948782541","0.0181884765625","Yes"
"60","159.24910066884837","84.22229468912334","0.0111083984375","0.01318359375","0.009033203125","2584","0.00043792350770641353","36","0.00043792350770641353","0","0.00043792350770641353","0.00043792350770641353","61:0.007511442931324747","61:80","","0.0111083984375","Yes"
