q,node,k_subsets,mean_score,propagated_error,lower_bound,margin,successful_subsets,total_subsets,success_fraction,T1,T2,Prob meas0 prep1,Prob meas1 prep0,readout_length,id_error,single_qubit_gate_length,x_error,rz_error,sx_error,pauli_x_error,measure_error,operational
3,0,1,0.7042,0.0456401533739754,0.6183965116569263,-0.0482701550097403,0,1,0.0,253.48015742321363,114.73657474887688,0.017333984375,0.002197265625,2584.0,0.0005917219638799,36.0,0.0005917219638799,0.0,0.0005917219638799,0.0005917219638799,0.0023193359375,Yes
3,1,2,0.7046500000000001,0.0322581908203172,0.6440046012578038,-0.0226620654088628,0,2,0.0,160.4088276514333,132.650904168516,0.0244140625,0.00439453125,2584.0,0.0002868763064152,36.0,0.0002868763064152,0.0,0.0002868763064152,0.0002868763064152,0.007080078125,Yes
3,2,4,0.7060500000000001,0.0227782135493545,0.6632269585272135,-0.0034397081394531,0,4,0.0,347.65924834098666,468.5139289124524,0.01025390625,0.001708984375,2584.0,0.0001447069843245,36.0,0.0001447069843245,0.0,0.0001447069843245,0.0001447069843245,0.0047607421875,Yes
3,3,6,0.7075166666666667,0.0185703731339284,0.6726043651748812,0.0059376985082145,0,6,0.0,378.9475992177564,255.376865648198,0.00634765625,0.004638671875,2584.0,0.0003574923950132,36.0,0.0003574923950132,0.0,0.0003574923950132,0.0003574923950132,0.01025390625,Yes
3,4,4,0.7116,0.0226507132889893,0.6690166590167,0.0023499923500334,0,4,0.0,226.58319140998776,146.11313722371935,0.0224609375,0.000732421875,2584.0,0.000373202023304,36.0,0.000373202023304,0.0,0.000373202023304,0.000373202023304,0.0101318359375,Yes
3,5,3,0.7107333333333332,0.0261774954238686,0.6615196419364602,-0.0051470247302064,0,3,0.0,285.6219611956308,223.62510641487063,0.006103515625,0.001708984375,2584.0,0.0001812017381801,36.0,0.0001812017381801,0.0,0.0001812017381801,0.0001812017381801,0.0037841796875,Yes
3,6,4,0.707075,0.0227547276681132,0.6642961119839471,-0.0023705546827195,0,4,0.0,220.30728954403284,152.14044697507288,0.005615234375,0.003173828125,2584.0,0.0002821671995228,36.0,0.0002821671995228,0.0,0.0002821671995228,0.0002821671995228,0.0228271484375,Yes
3,7,6,0.7052833333333334,0.0186125451271745,0.6702917484942451,0.0036250818275784,0,6,0.0,280.9538516082856,118.44002691756556,0.018310546875,0.001953125,2584.0,0.0001172214912046,36.0,0.0001172214912046,0.0,0.0001172214912046,0.0001172214912046,0.0035400390625,Yes
3,8,4,0.7070750000000001,0.0227551542238236,0.6642953100592117,-0.0023713566074549,0,4,0.0,224.3121103274388,106.47246558779098,0.009521484375,0.001220703125,2584.0,0.0005967327948574,36.0,0.0005967327948574,0.0,0.0005967327948574,0.0005967327948574,0.009033203125,Yes
3,9,3,0.7049666666666666,0.0263295480401772,0.6554671163511335,-0.0111995503155331,0,3,0.0,235.52512231882,243.4489857580812,0.02197265625,0.03662109375,2584.0,0.000251729208317,36.0,0.000251729208317,0.0,0.000251729208317,0.000251729208317,0.0162353515625,Yes
3,10,4,0.701025,0.0228886616308162,0.6579943161340654,-0.0086723505326011,0,4,0.0,247.73500391949685,116.21351826614888,0.01953125,0.010009765625,2584.0,0.0002383440493738,36.0,0.0002383440493738,0.0,0.0002383440493738,0.0002383440493738,0.0042724609375,Yes
3,11,6,0.6920333333333333,0.0188397210406334,0.6566146577769423,-0.0100520088897243,0,6,0.0,315.0104866122249,217.7051113887617,0.0185546875,0.02197265625,2584.0,0.0003413875137795,36.0,0.0003413875137795,0.0,0.0003413875137795,0.0003413875137795,0.0103759765625,Yes
3,12,4,0.7000250000000001,0.0229096574887098,0.6569548439212256,-0.009711822745441,0,4,0.0,300.7685823186218,134.31798965297813,0.009033203125,0.001708984375,2584.0,0.0002718689905113,36.0,0.0002718689905113,0.0,0.0002718689905113,0.0002718689905113,0.01416015625,Yes
3,13,3,0.6985666666666668,0.0264897781124048,0.6487658838153457,-0.0179007828513209,0,3,0.0,226.0620169910348,180.93249206787425,0.028076171875,0.039794921875,2584.0,0.0001382312918026,36.0,0.0001382312918026,0.0,0.0001382312918026,0.0001382312918026,0.008056640625,Yes
