subset,mean_HOP,hop_error
"(66, 67)",0.7874,0.04091469662602914
"(140, 141)",0.7873,0.04092171917209735
"(108, 109)",0.7872000000000001,0.040928738069967406
"(98, 111)",0.7871999999999999,0.04092873806996742
"(0, 1)",0.7870999999999999,0.0409357533215159
"(131, 132)",0.787,0.04094276492861711
"(57, 67)",0.7868999999999999,0.04094977289314313
"(24, 25)",0.7868999999999999,0.04094977289314313
"(8, 9)",0.7863999999999999,0.04098475814250952
"(125, 126)",0.7856000000000001,0.041040545805337426
"(92, 93)",0.7856000000000001,0.041040545805337426
"(29, 38)",0.7855000000000001,0.041047502969121026
"(110, 111)",0.7853,0.04106140645423632
"(46, 47)",0.7852,0.04106835277923866
"(73, 74)",0.7852,0.04106835277923866
"(33, 39)",0.7842,0.041137617821162174
"(153, 154)",0.7841,0.04114452454458552
"(16, 23)",0.7840000000000003,0.041151427678757374
"(95, 99)",0.7839,0.041158327225483786
"(111, 112)",0.7837000000000001,0.04117211556381333
"(104, 105)",0.7835000000000002,0.04118588957397908
"(71, 72)",0.7833999999999998,0.041192771210492765
"(38, 49)",0.7833000000000001,0.041199649270351794
"(20, 21)",0.7833000000000001,0.041199649270351794
"(72, 73)",0.7828999999999999,0.04122712577903049
"(85, 86)",0.7828000000000002,0.041233985982439283
"(11, 12)",0.7827999999999998,0.041233985982439304
"(49, 50)",0.7826,0.04124769569321419
"(109, 118)",0.7824000000000001,0.04126139115444363
"(101, 102)",0.7823,0.04126823354591277
"(105, 106)",0.7817000000000002,0.04130921325806144
"(10, 11)",0.7816999999999998,0.041309213258061465
"(23, 24)",0.7815999999999999,0.04131603078709281
"(13, 14)",0.7815000000000001,0.041322844771385224
"(21, 22)",0.7813000000000001,0.04133646211276431
"(117, 125)",0.7813000000000001,0.04133646211276431
"(87, 88)",0.7811,0.04135006529619996
"(27, 28)",0.7809999999999999,0.04135686158305536
"(61, 76)",0.7808000000000002,0.04137044355575607
"(138, 151)",0.7807,0.041377229245081165
"(69, 70)",0.7805000000000001,0.04139079003836481
"(150, 151)",0.7804999999999999,0.04139079003836482
"(55, 59)",0.7804999999999996,0.04139079003836484
"(128, 129)",0.7803000000000001,0.041404336729381375
"(148, 149)",0.7800999999999999,0.0414178693319683
"(43, 56)",0.7798999999999999,0.04143138785993055
"(120, 121)",0.7797999999999999,0.041438141850232625
"(41, 42)",0.7797,0.04144489232704074
"(89, 90)",0.7791,0.04148532150050184
"(29, 30)",0.7786,0.04151891617082508
"(80, 81)",0.7782000000000001,0.041545729022367625
"(42, 43)",0.7776,0.04158584374519772
"(43, 44)",0.7774,0.04159918749206527
"(149, 150)",0.7773,0.04160585415539501
"(22, 23)",0.7772000000000001,0.04161251734754819
"(105, 117)",0.7772,0.0416125173475482
"(126, 127)",0.7771000000000001,0.04161917707019205
"(45, 46)",0.7766999999999998,0.04164578129895033
"(102, 103)",0.7763,0.04167233014843302
"(11, 18)",0.7759,0.041698823724416974
"(94, 95)",0.7758999999999997,0.041698823724416995
"(28, 29)",0.7757,0.04171204981776849
"(96, 103)",0.7757,0.04171204981776849
"(100, 101)",0.7751,0.04175164547655577
"(69, 78)",0.7750999999999999,0.04175164547655578
"(123, 124)",0.7750000000000001,0.041758232721225155
"(127, 137)",0.7748999999999999,0.04176481653257919
"(76, 81)",0.7745000000000001,0.041791117477282175
"(93, 94)",0.774,0.04182391660282427
"(123, 136)",0.774,0.04182391660282427
"(25, 37)",0.7739999999999999,0.04182391660282428
"(56, 63)",0.7736,0.041850094384600856
"(12, 13)",0.7732000000000001,0.04187621759423837
"(99, 115)",0.7726000000000002,0.04191530030907567
"(63, 64)",0.7725,0.0419218022036267
"(90, 91)",0.7724000000000001,0.04192830070489382
"(118, 129)",0.7724,0.041928300704893826
"(134, 135)",0.7715999999999998,0.04198016674573841
"(135, 139)",0.7715000000000002,0.041986634778224355
"(44, 45)",0.7707,0.04203825757568931
"(68, 69)",0.7702999999999999,0.04206398816089602
